age,income,budget,credit_score,income_confidence,user_segment,pages_viewed,time_on_site,return_visits,session_count,contact_form_submitted,downloaded_brochure,property_saved,chat_with_agent,traffic_source,converted
59,81158,345238,584,0.66,curious_researcher,5,196,3,4,1,0,0,0,facebook_ads,0
49,54782,205628,522,0.47,serious_buyer,13,782,7,8,0,0,0,0,google_ads,0
35,105709,418787,565,0.67,curious_researcher,9,214,1,3,0,0,0,0,google_ads,0
28,98533,335498,672,0.48,serious_buyer,17,807,3,9,1,0,0,0,organic_search,1
41,128939,501383,532,0.71,curious_researcher,7,295,2,4,1,0,1,0,referral,0
59,78255,369117,535,0.84,serious_buyer,10,782,3,6,0,0,0,0,google_ads,0
39,131952,570766,613,0.73,impulsive_buyer,5,273,1,2,0,1,1,0,facebook_ads,0
43,92684,374457,679,0.55,curious_researcher,5,123,2,2,1,0,0,0,facebook_ads,0
31,76918,403000,719,0.61,serious_buyer,15,346,7,7,1,1,0,0,google_ads,1
31,146093,829885,351,0.78,casual_browser,1,65,0,2,0,1,1,0,referral,0
44,104284,549615,808,0.75,casual_browser,3,89,0,2,1,0,0,0,organic_search,0
56,99558,397833,504,0.48,casual_browser,3,117,1,2,0,0,0,1,google_ads,0
44,105549,552372,556,0.91,curious_researcher,7,159,2,2,1,1,0,0,facebook_ads,0
23,124223,429307,484,0.69,serious_buyer,19,355,7,5,1,0,0,0,referral,1
42,101422,343917,444,0.5,casual_browser,2,94,1,2,0,0,0,1,organic_search,0
22,140363,566628,313,0.47,curious_researcher,5,260,2,2,0,0,1,0,facebook_ads,0
44,146352,793682,545,0.98,serious_buyer,18,851,4,6,0,0,1,0,organic_search,1
50,45256,169214,486,0.57,casual_browser,1,55,1,1,0,0,1,1,organic_search,0
58,50005,159503,636,0.95,casual_browser,1,111,0,1,1,0,0,0,referral,0
22,26638,90439,558,0.65,curious_researcher,6,222,1,2,1,0,1,0,organic_search,0
41,57419,320181,339,0.63,serious_buyer,16,621,7,9,0,1,1,0,facebook_ads,0
53,53377,261619,717,0.82,curious_researcher,8,254,2,2,1,0,0,0,organic_search,0
32,126244,474627,650,0.41,casual_browser,2,73,0,2,0,0,0,0,organic_search,0
42,63116,294492,308,0.6,curious_researcher,5,222,3,3,1,0,1,0,google_ads,0
45,56634,259538,649,0.58,curious_researcher,8,250,2,4,1,0,1,0,google_ads,0
47,102291,508008,383,0.92,casual_browser,4,84,0,1,1,1,0,0,facebook_ads,0
48,43382,160494,832,0.72,casual_browser,4,44,0,1,0,0,0,0,organic_search,0
36,135303,756777,657,0.62,serious_buyer,19,330,5,6,0,1,1,0,google_ads,1
35,76063,298783,677,0.56,serious_buyer,15,796,6,9,0,1,0,0,facebook_ads,1
23,42394,215463,471,0.75,casual_browser,3,71,0,1,0,0,0,0,organic_search,0
57,87789,267613,324,0.49,casual_browser,2,94,0,2,0,0,1,0,facebook_ads,0
27,123246,507523,692,0.55,impulsive_buyer,3,110,1,3,1,1,0,0,organic_search,0
41,130634,529737,402,0.58,impulsive_buyer,3,216,1,3,0,0,1,0,referral,0
29,20864,96609,535,0.76,serious_buyer,19,831,6,9,0,1,1,0,google_ads,1
59,119572,384807,709,0.62,curious_researcher,6,209,2,4,0,0,0,0,referral,0
38,60222,323415,848,0.7,casual_browser,1,103,0,1,0,0,0,0,organic_search,0
24,33666,122993,631,0.79,casual_browser,1,56,1,2,1,1,0,0,referral,0
45,143664,722789,831,0.97,curious_researcher,8,297,3,3,0,1,0,0,referral,0
34,40955,221551,328,0.86,serious_buyer,13,504,6,7,0,1,1,1,google_ads,0
29,130674,612290,842,0.64,impulsive_buyer,3,209,2,3,0,0,0,1,referral,0
46,123533,645169,318,0.85,serious_buyer,10,685,6,8,0,1,1,0,organic_search,1
22,101845,507756,447,0.97,curious_researcher,5,130,2,4,0,0,1,0,organic_search,0
40,136925,556817,770,0.7,casual_browser,4,93,0,1,1,0,0,0,referral,0
48,89590,486166,790,0.65,impulsive_buyer,6,241,1,2,1,1,1,0,google_ads,0
27,147775,573973,582,0.45,curious_researcher,7,144,2,3,0,0,1,0,google_ads,0
28,86471,407593,412,0.94,casual_browser,1,100,0,2,0,0,1,0,referral,0
55,130476,683197,754,0.55,serious_buyer,11,791,4,8,1,0,0,1,google_ads,1
34,108314,448080,629,0.44,impulsive_buyer,7,235,2,2,0,0,1,1,referral,0
37,142579,557241,554,0.72,casual_browser,3,116,1,1,0,1,0,0,referral,0
56,63298,277121,698,0.91,casual_browser,1,76,0,2,0,0,1,0,facebook_ads,0
24,83108,453261,807,0.64,casual_browser,3,77,1,2,1,1,0,0,referral,0
22,133864,775041,765,0.87,casual_browser,4,63,0,2,1,1,0,0,google_ads,0
26,68924,319479,706,0.9,casual_browser,1,32,1,2,0,0,0,1,organic_search,0
24,36709,182972,397,0.67,serious_buyer,18,332,5,8,0,0,0,0,referral,0
49,29726,169730,589,0.75,curious_researcher,5,149,2,2,1,0,0,0,facebook_ads,0
38,80824,266366,455,0.72,impulsive_buyer,5,191,2,2,1,1,0,0,facebook_ads,0
46,60542,223777,461,0.96,serious_buyer,14,819,6,8,1,0,1,0,facebook_ads,1
54,40245,206324,396,0.84,impulsive_buyer,3,139,1,2,1,1,0,0,facebook_ads,0
